layers,smote,units,tune_idx
2.0,1.0,"(512, 128)",124
2.0,1.0,"(512, 256)",125
2.0,1.0,"(512, 512)",126
3.0,1.0,"(128, 128, 128)",127
3.0,1.0,"(128, 128, 256)",128
3.0,1.0,"(128, 128, 512)",129
3.0,1.0,"(128, 256, 128)",130
3.0,1.0,"(128, 256, 256)",131
3.0,1.0,"(128, 256, 512)",132
3.0,1.0,"(128, 512, 128)",133
3.0,1.0,"(128, 512, 256)",134
3.0,1.0,"(128, 512, 512)",135
3.0,1.0,"(256, 128, 128)",136
3.0,1.0,"(256, 128, 256)",137
3.0,1.0,"(256, 128, 512)",138
3.0,1.0,"(256, 256, 128)",139
3.0,1.0,"(256, 256, 256)",140
3.0,1.0,"(256, 256, 512)",141
3.0,1.0,"(256, 512, 128)",142
3.0,1.0,"(256, 512, 256)",143
3.0,1.0,"(256, 512, 512)",144
3.0,1.0,"(512, 128, 128)",145
3.0,1.0,"(512, 128, 256)",146
3.0,1.0,"(512, 128, 512)",147
3.0,1.0,"(512, 256, 128)",148
3.0,1.0,"(512, 256, 256)",149
3.0,1.0,"(512, 256, 512)",150
3.0,1.0,"(512, 512, 128)",151
3.0,1.0,"(512, 512, 256)",152
3.0,1.0,"(512, 512, 512)",153
4.0,1.0,"(128, 128, 128, 128)",154
4.0,1.0,"(128, 128, 128, 256)",155
4.0,1.0,"(128, 128, 128, 512)",156
4.0,1.0,"(128, 128, 256, 128)",157
4.0,1.0,"(128, 128, 256, 256)",158
4.0,1.0,"(128, 128, 256, 512)",159
4.0,1.0,"(128, 128, 512, 128)",160
4.0,1.0,"(128, 128, 512, 256)",161
4.0,1.0,"(128, 128, 512, 512)",162
4.0,1.0,"(128, 256, 128, 128)",163
4.0,1.0,"(128, 256, 128, 256)",164
4.0,1.0,"(128, 256, 128, 512)",165
4.0,1.0,"(128, 256, 256, 128)",166
4.0,1.0,"(128, 256, 256, 256)",167
4.0,1.0,"(128, 256, 256, 512)",168
4.0,1.0,"(128, 256, 512, 128)",169
4.0,1.0,"(128, 256, 512, 256)",170
4.0,1.0,"(128, 256, 512, 512)",171
4.0,1.0,"(128, 512, 128, 128)",172
4.0,1.0,"(128, 512, 128, 256)",173
4.0,1.0,"(128, 512, 128, 512)",174
4.0,1.0,"(128, 512, 256, 128)",175
4.0,1.0,"(128, 512, 256, 256)",176
4.0,1.0,"(128, 512, 256, 512)",177
4.0,1.0,"(128, 512, 512, 128)",178
4.0,1.0,"(128, 512, 512, 256)",179
4.0,1.0,"(128, 512, 512, 512)",180
4.0,1.0,"(256, 128, 128, 128)",181
4.0,1.0,"(256, 128, 128, 256)",182
4.0,1.0,"(256, 128, 128, 512)",183
4.0,1.0,"(256, 128, 256, 128)",184
4.0,1.0,"(256, 128, 256, 256)",185
4.0,1.0,"(256, 128, 256, 512)",186
4.0,1.0,"(256, 128, 512, 128)",187
4.0,1.0,"(256, 128, 512, 256)",188
4.0,1.0,"(256, 128, 512, 512)",189
4.0,1.0,"(256, 256, 128, 128)",190
4.0,1.0,"(256, 256, 128, 256)",191
4.0,1.0,"(256, 256, 128, 512)",192
4.0,1.0,"(256, 256, 256, 128)",193
4.0,1.0,"(256, 256, 256, 256)",194
4.0,1.0,"(256, 256, 256, 512)",195
4.0,1.0,"(256, 256, 512, 128)",196
4.0,1.0,"(256, 256, 512, 256)",197
4.0,1.0,"(256, 256, 512, 512)",198
4.0,1.0,"(256, 512, 128, 128)",199
4.0,1.0,"(256, 512, 128, 256)",200
4.0,1.0,"(256, 512, 128, 512)",201
4.0,1.0,"(256, 512, 256, 128)",202
4.0,1.0,"(256, 512, 256, 256)",203
4.0,1.0,"(256, 512, 256, 512)",204
4.0,1.0,"(256, 512, 512, 128)",205
4.0,1.0,"(256, 512, 512, 256)",206
4.0,1.0,"(256, 512, 512, 512)",207
4.0,1.0,"(512, 128, 128, 128)",208
4.0,1.0,"(512, 128, 128, 256)",209
4.0,1.0,"(512, 128, 128, 512)",210
4.0,1.0,"(512, 128, 256, 128)",211
4.0,1.0,"(512, 128, 256, 256)",212
4.0,1.0,"(512, 128, 256, 512)",213
4.0,1.0,"(512, 128, 512, 128)",214
4.0,1.0,"(512, 128, 512, 256)",215
4.0,1.0,"(512, 128, 512, 512)",216
4.0,1.0,"(512, 256, 128, 128)",217
4.0,1.0,"(512, 256, 128, 256)",218
4.0,1.0,"(512, 256, 128, 512)",219
4.0,1.0,"(512, 256, 256, 128)",220
4.0,1.0,"(512, 256, 256, 256)",221
4.0,1.0,"(512, 256, 256, 512)",222
4.0,1.0,"(512, 256, 512, 128)",223
4.0,1.0,"(512, 256, 512, 256)",224
4.0,1.0,"(512, 256, 512, 512)",225
4.0,1.0,"(512, 512, 128, 128)",226
4.0,1.0,"(512, 512, 128, 256)",227
4.0,1.0,"(512, 512, 128, 512)",228
4.0,1.0,"(512, 512, 256, 128)",229
4.0,1.0,"(512, 512, 256, 256)",230
4.0,1.0,"(512, 512, 256, 512)",231
4.0,1.0,"(512, 512, 512, 128)",232
4.0,1.0,"(512, 512, 512, 256)",233
4.0,1.0,"(512, 512, 512, 512)",234
